state,ever,bf_6mth,bf_12mth,exc_bf_3mth,exc_bf_6mth
Alabama,67.6,35.8,20.7,32.6,10.9
Alaska,90.8,62.1,38.4,55.3,27.8
Arizona,85,54.8,30,46.3,23.8
Arkansas,68.4,39.5,20.2,32.2,14.1
California,90.2,58.5,34.3,51.5,24.8
Colorado,88.6,66.2,40.6,57.3,26.4
Connecticut,85.2,55.3,34.9,44,21.4
Delaware,74.6,40.6,24.5,36.8,18.9
District of Columbia,82.8,57.4,33.1,43.5,23.2
Florida,81.1,47.3,24.6,44.9,18.4
Georgia,69.2,48.9,29.8,38.7,25.4
Hawaii,90.6,65.3,42.9,54.8,30
Idaho,92.9,65.4,39.6,56.7,28.1
Illinois,81.1,52.5,29.2,43.2,25.5
Indiana,76.1,37.7,20.7,39.3,16.5
Iowa,80.5,52.9,33.8,43,24.9
Kansas,83.8,50.5,32.4,50.2,23.4
Kentucky,66.9,35.3,21.6,35,19
Louisiana,60.9,31.2,13.3,26.8,11.8
Maine,86.6,61.1,42.2,53.7,32
Maryland,84.8,66.5,40.6,45.8,23.2
Massachusetts,87.4,67.9,38.7,49.2,19.9
Michigan,80.8,51.6,31.8,42.3,26.6
Minnesota,90.1,65.9,41,53.9,31.4
Mississippi,52,23.9,11.3,21.4,9.3
Missouri,85.4,56.6,36.5,49.7,24.7
Montana,86.4,59.3,31.5,60.7,33.8
Nebraska,80.8,50,30.1,41.5,22.6
Nevada,82.6,49.5,31,45.9,24.9
New Hampshire,79.6,54.8,34,51.1,26.8
New Jersey,82,52.6,30.2,41.4,23.1
New Mexico,85.5,51.1,29.5,52,26.6
New York,82.2,55.8,33.6,40.8,19.7
North Carolina,75.3,47.5,30,45.4,20.8
North Dakota,82.3,51.5,27.9,49,23.6
Ohio,77.7,43.8,25.6,39.6,22.3
Oklahoma,74.7,37.9,22.3,35.1,15.7
Oregon,92.5,68.2,44.9,52.9,30.6
Pennsylvania,73.3,47.6,31.9,41.2,20.5
Rhode Island,81.8,56,36.7,45.4,27.4
South Carolina,71.4,44,27.2,40.8,22.8
South Dakota,83.6,53.4,31.8,45.1,23.4
Tennessee,71.1,42.5,24.7,38.7,16.1
Texas,81.9,46.5,26.8,41.4,21
Utah,94.4,70.4,42.6,50.7,27
Vermont,84.5,64.6,42.2,58,31.3
Virginia,82,55.2,35.5,49.5,22
Washington,87.4,63.7,39.4,51.7,28
West Virginia,64.6,35.8,18.3,32.6,14.1
Wisconsin,80.3,58.9,34.1,50.4,26.6
Wyoming,89.7,59.5,37.1,57,27
